Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Engulfing With FollowThru|Industry|NATIONAL COMMERCIAL BANKS|13|0.6153846153846154|194
Bullish Engulfing With FollowThru|Overall|All|399|0.3157894736842105|174
